name,lat,lng,address,google_maps_url,place_id,cid,google_name,status
TRẠM THU PHÍ TRẢNG BOM- ĐỒNG NAI,10.9453765,107.0574443,"Trạm thu phí đường tránh Biên Hòa, QL1A, Hưng Thịnh, Đồng Nai 76000, Việt Nam","https://www.google.com/maps/place/Tr%E1%BA%A1m+Thu+ph%C3%AD+Tr%E1%BA%A3ng+Bom/@10.9453765,107.0574443,17z/data=!3m1!4b1!4m6!3m5!1s0x3174e481b1d33e3b:0xcb649026b77d9c51!8m2!3d10.9453765!4d107.0574443!16s%2Fg%2F11f126nh_4?entry=ttu&g_ep=EgoyMDI2MDYwMS4wIKXMDSoASAFQAw%3D%3D",,0x3174e481b1d33e3b:0xcb649026b77d9c51,Trạm Thu phí Trảng Bom,1
TRẠM THU PHÍ BOT 319,10.7687709,106.9228499,"Ngã 3, Bến Cam, Nhơn Trạch, Đồng Nai, Việt Nam","https://www.google.com/maps/place/Tr%E1%BA%A1m+Thu+ph%C3%AD+319+HLD/@10.7687709,106.9228499,17z/data=!3m1!4b1!4m6!3m5!1s0x317519e570d57dbb:0x3aa8452199f3b6a4!8m2!3d10.7687709!4d106.9228499!16s%2Fg%2F11shlyq3yg?entry=ttu&g_ep=EgoyMDI2MDYwMS4wIKXMDSoASAFQAw%3D%3D",,0x317519e570d57dbb:0x3aa8452199f3b6a4,Trạm Thu phí 319 HLD,1
TRẠM THU PHÍ HOÀNG MAI,19.3019039,105.7242358,"AH1, Hoàng Mai, Nghệ An, Việt Nam","https://www.google.com/maps/place/Tr%E1%BA%A1m+Thu+Ph%C3%AD+Ho%C3%A0ng+Mai,+AH1,+Ho%C3%A0ng+Mai,+Ngh%E1%BB%87+An,+Vi%E1%BB%87t+Nam/@19.3019039,105.7242358,17z/data=!3m1!4b1!4m6!3m5!1s0x31370b0631ba47d3:0x514cec1b205bf852!8m2!3d19.3019039!4d105.7242358!16s%2Fg%2F11bx1_g2qf?entry=ttu&g_ep=EgoyMDI2MDYwMS4wIKXMDSoASAFQAw%3D%3D",,0x31370b0631ba47d3:0x514cec1b205bf852,Trạm Thu Phí Hoàng Mai,1
TRẠM THU PHÍ TƯ NGHĨA,15.0633587,108.8391931,"3R7Q+8M, Tư Nghĩa, Quảng Ngãi, Việt Nam","https://www.google.com/maps/place/Tr%E1%BA%A1m+Thu+ph%C3%AD+T%C6%B0+Ngh%C4%A9a/@15.0633587,108.8391931,17z/data=!3m1!4b1!4m6!3m5!1s0x31685500638749d5:0x6128d340a90eed14!8m2!3d15.0633587!4d108.8391931!16s%2Fg%2F11vx4fnwwm?entry=ttu&g_ep=EgoyMDI2MDYwMS4wIKXMDSoASAFQAw%3D%3D",,0x31685500638749d5:0x6128d340a90eed14,Trạm Thu phí Tư Nghĩa,1
TRẠM THU PHÍ PHÚ BÀI,16.3702707,107.7249773,"9PCF+4X5, AH1, Phú Bài, Huế, Việt Nam","https://www.google.com/maps/place/Tr%E1%BA%A1m+Thu+ph%C3%AD+Ph%C3%BA+B%C3%A0i/@16.3702707,107.7249773,17z/data=!3m1!4b1!4m6!3m5!1s0x314199ae55bfffff:0x5afc509a542fd818!8m2!3d16.3702707!4d107.7249773!16s%2Fg%2F11c2k985mg?entry=ttu&g_ep=EgoyMDI2MDYwMS4wIKXMDSoASAFQAw%3D%3D",,0x314199ae55bfffff:0x5afc509a542fd818,Trạm Thu phí Phú Bài,1
TRẠM THU PHÍ QL279 ( BẮC GIANG LẠNG SƠN),21.6205522,106.5586596,"JHC5+6FF, ĐCT Bắc Giang - Lạng Sơn, Chi Lăng, Lạng Sơn, Việt Nam","https://www.google.com/maps/place/Tr%E1%BA%A1m+Thu+ph%C3%AD+Qu%E1%BB%91c+l%E1%BB%99+279/@21.6205522,106.5586596,17z/data=!3m1!4b1!4m6!3m5!1s0x314aa94675f122f7:0x34b7d4deee34ac21!8m2!3d21.6205522!4d106.5586596!16s%2Fg%2F11j8l2s317?entry=ttu&g_ep=EgoyMDI2MDYwMS4wIKXMDSoASAFQAw%3D%3D",,0x314aa94675f122f7:0x34b7d4deee34ac21,Trạm Thu phí Quốc lộ 279,1
TRẠM THU PHÍ TASCO QUẢNG BÌNH,17.8902161,106.4509095,"VFR2+39M, Phú Trạch, Quảng Trị, Việt Nam","https://www.google.com/maps/place/Tr%E1%BA%A1m+Thu+Ph%C3%AD+TASCO+Qu%E1%BA%A3ng+B%C3%ACnh/@17.8902161,106.4509095,17z/data=!3m1!4b1!4m6!3m5!1s0x31389ca4896368dd:0xbb5d35eb986ccd39!8m2!3d17.8902161!4d106.4509095!16s%2Fg%2F11bw6rr5bk?entry=ttu&g_ep=EgoyMDI2MDYwMS4wIKXMDSoASAFQAw%3D%3D",,0x31389ca4896368dd:0xbb5d35eb986ccd39,Trạm Thu Phí TASCO Quảng Bình,1
TRẠM THU PHÍ TAM KỲ,15.548535,108.5184763,"GGX9+C99, QL1A, Tam Xuân, Đà Nẵng, Việt Nam","https://www.google.com/maps/place/Tr%E1%BA%A1m+Thu+ph%C3%AD+Tam+K%E1%BB%B3/@15.548535,108.5184763,17z/data=!3m1!4b1!4m6!3m5!1s0x3169dca970099499:0x4fe99dcae8a46f55!8m2!3d15.548535!4d108.5184763!16s%2Fg%2F11b67hd57c?entry=ttu&g_ep=EgoyMDI2MDYwMS4wIKXMDSoASAFQAw%3D%3D",,0x3169dca970099499:0x4fe99dcae8a46f55,Trạm Thu phí Tam Kỳ,1
TRẠM THU PHÍ HÒA PHƯỚC,16.0046282,108.246048,"263W+VC3, Quảng Nam, Ngũ Hành Sơn, Đà Nẵng 550000, Việt Nam","https://www.google.com/maps/place/Tr%E1%BA%A1m+thu+ph%C3%AD+Ho%C3%A0+Ph%C6%B0%E1%BB%9Bc/@16.0046282,108.246048,17z/data=!3m1!4b1!4m6!3m5!1s0x314211002803bfd5:0x866ac438de653492!8m2!3d16.0046282!4d108.246048!16s%2Fg%2F11njrx82nx?entry=ttu&g_ep=EgoyMDI2MDYwMS4wIKXMDSoASAFQAw%3D%3D",,0x314211002803bfd5:0x866ac438de653492,Trạm thu phí Hoà Phước,1
TRẠM THU PHÍ TAM NÔNG,21.2433177,105.3260139,"68VG+8CC, Tam Nông, Phú Thọ, Việt Nam","https://www.google.com/maps/place/Tr%E1%BA%A1m+Thu+ph%C3%AD+Tam+N%C3%B4ng/@21.2433177,105.3260139,17z/data=!3m1!4b1!4m6!3m5!1s0x31348c0816a298f9:0xb237504939c3d56e!8m2!3d21.2433177!4d105.3260139!16s%2Fg%2F11g8pdhrsq?entry=ttu&g_ep=EgoyMDI2MDYwMS4wIKXMDSoASAFQAw%3D%3D",,0x31348c0816a298f9:0xb237504939c3d56e,Trạm Thu phí Tam Nông,1
