object_id,object_type,candidate_source,candidate_name,candidate_name_normalized,candidate_confidence,current_name,lat,lon
vn-toll-gmaps-chijiredpchpaderzawuyfy43mo,toll_station,colleague_google_name,Trạm Thu phí Bắc Bình Định,tram thu phi bac binh dinh,0.85,Trạm thu phí Bắc Bình Định,14.397124,109.017843
vn-toll-gmaps-chijiredpchpaderzawuyfy43mo,toll_station,google_name,Trạm thu phí Bắc Bình Định,tram thu phi bac binh dinh,0.8,Trạm thu phí Bắc Bình Định,14.397124,109.017843
vn-toll-gmaps-chijjz33lwwtaterpqndaejlzy4,toll_station,current_name,Trạm thu phí Bắc Quảng Ngãi,tram thu phi bac quang ngai,0.90,Trạm thu phí Bắc Quảng Ngãi,15.15787,108.751739
vn-toll-gmaps-chijjz33lwwtaterpqndaejlzy4,toll_station,osm_name,Trạm Thu Phí Bắc Quảng Ngãi,tram thu phi bac quang ngai,0.65,Trạm thu phí Bắc Quảng Ngãi,15.15787,108.751739
vn-toll-gmaps-chijjz33lwwtaterpqndaejlzy4,toll_station,google_name,Trạm thu phí Bắc Quảng Ngãi,tram thu phi bac quang ngai,0.8,Trạm thu phí Bắc Quảng Ngãi,15.15787,108.751739
vn-toll-gmaps-chijbqk091h9nder80iyuxu9ckq,toll_station,current_name,Trạm thu phí Bắc Thăng Long - Nội Bài,tram thu phi bac thang long noi bai,0.90,Trạm thu phí Bắc Thăng Long - Nội Bài,21.203178,105.77953
vn-toll-gmaps-chijbqk091h9nder80iyuxu9ckq,toll_station,osm_name,Đường Võ Văn Kiệt,duong vo van kiet,0.65,Trạm thu phí Bắc Thăng Long - Nội Bài,21.203178,105.77953
vn-toll-gmaps-chijbqk091h9nder80iyuxu9ckq,toll_station,colleague_name,Trạm Thu phí Bắc Thăng Long - Nội Bài,tram thu phi bac thang long noi bai,0.75,Trạm thu phí Bắc Thăng Long - Nội Bài,21.203178,105.77953
vn-toll-gmaps-chijbqk091h9nder80iyuxu9ckq,toll_station,colleague_google_name,Trạm Thu phí Bắc Thăng Long - Nội Bài,tram thu phi bac thang long noi bai,0.85,Trạm thu phí Bắc Thăng Long - Nội Bài,21.203178,105.77953
vn-toll-gmaps-chijbqk091h9nder80iyuxu9ckq,toll_station,google_name,Trạm thu phí Bắc Thăng Long - Nội Bài,tram thu phi bac thang long noi bai,0.8,Trạm thu phí Bắc Thăng Long - Nội Bài,21.203178,105.77953
vn-toll-gmaps-chijn4fa8utmcjerr8zi6wu9oiu,toll_station,current_name,Trạm thu phí Bến Lức,tram thu phi ben luc,0.90,Trạm thu phí Bến Lức,10.656005,106.473537
vn-toll-gmaps-chijn4fa8utmcjerr8zi6wu9oiu,toll_station,osm_name,Đi Cao tốc Thành phố Hồ Chí Minh - Trung Lương,di cao toc thanh pho ho chi minh trung luong,0.65,Trạm thu phí Bến Lức,10.656005,106.473537
vn-toll-gmaps-chijn4fa8utmcjerr8zi6wu9oiu,toll_station,colleague_name,Trạm Thu phí Bến Lức,tram thu phi ben luc,0.75,Trạm thu phí Bến Lức,10.656005,106.473537
vn-toll-gmaps-chijn4fa8utmcjerr8zi6wu9oiu,toll_station,colleague_google_name,Trạm Thu phí Bến Lức,tram thu phi ben luc,0.85,Trạm thu phí Bến Lức,10.656005,106.473537
vn-toll-gmaps-chijn4fa8utmcjerr8zi6wu9oiu,toll_station,google_name,Trạm thu phí Bến Lức,tram thu phi ben luc,0.7,Trạm thu phí Bến Lức,10.656005,106.473537
vn-toll-gmaps-chijny0tnjdmoterqgz5mdb3vqu,toll_station,current_name,Trạm thu phí Bến Thủy,tram thu phi ben thuy,0.90,Trạm thu phí Bến Thủy,18.648611,105.704591
vn-toll-gmaps-chijny0tnjdmoterqgz5mdb3vqu,toll_station,osm_name,Trạm Thu Phí Bến Thủy 1,tram thu phi ben thuy 1,0.65,Trạm thu phí Bến Thủy,18.648611,105.704591
vn-toll-gmaps-chijny0tnjdmoterqgz5mdb3vqu,toll_station,colleague_name,Trạm Thu Phí Bến Thủy,tram thu phi ben thuy,0.75,Trạm thu phí Bến Thủy,18.648611,105.704591
vn-toll-gmaps-chijny0tnjdmoterqgz5mdb3vqu,toll_station,colleague_google_name,Trạm Thu Phí Bến Thủy,tram thu phi ben thuy,0.85,Trạm thu phí Bến Thủy,18.648611,105.704591
vn-toll-gmaps-chijny0tnjdmoterqgz5mdb3vqu,toll_station,google_name,Trạm thu phí Bến Thủy,tram thu phi ben thuy,0.8,Trạm thu phí Bến Thủy,18.648611,105.704591
vn-toll-clean-080,toll_station,current_name,Trạm thu phí Cai Chanh,tram thu phi cai chanh,0.90,Trạm thu phí Cai Chanh,11.9121874,107.3905139
vn-toll-clean-080,toll_station,colleague_name,Trạm thu phí Cai Chanh,tram thu phi cai chanh,0.75,Trạm thu phí Cai Chanh,11.9121874,107.3905139
vn-toll-clean-080,toll_station,colleague_google_name,Trạm Thu phí Cai Chanh,tram thu phi cai chanh,0.85,Trạm thu phí Cai Chanh,11.9121874,107.3905139
vn-toll-clean-080,toll_station,google_name,Trạm thu phí Cai Chanh,tram thu phi cai chanh,0.80,Trạm thu phí Cai Chanh,11.9121874,107.3905139
vn-toll-gmaps-chij2q5hfmqqcjervjb8vivxgqm,toll_station,current_name,Trạm thu phí Cai Lậy,tram thu phi cai lay,0.90,Trạm thu phí Cai Lậy,10.410112,106.060544
vn-toll-gmaps-chij2q5hfmqqcjervjb8vivxgqm,toll_station,osm_name,Trạm thu phí Cai Lậy,tram thu phi cai lay,0.65,Trạm thu phí Cai Lậy,10.410112,106.060544
vn-toll-gmaps-chij2q5hfmqqcjervjb8vivxgqm,toll_station,colleague_name,TRẠM THU PHÍ CAI LẬY ( QUỐC LỘ 1A),tram thu phi cai lay quoc lo 1a,0.75,Trạm thu phí Cai Lậy,10.410112,106.060544
vn-toll-gmaps-chij2q5hfmqqcjervjb8vivxgqm,toll_station,colleague_google_name,Trạm Thu phí Cai Lậy,tram thu phi cai lay,0.85,Trạm thu phí Cai Lậy,10.410112,106.060544
vn-toll-gmaps-chij2q5hfmqqcjervjb8vivxgqm,toll_station,google_name,Trạm thu phí Cai Lậy,tram thu phi cai lay,0.7,Trạm thu phí Cai Lậy,10.410112,106.060544
vn-toll-clean-071,toll_station,current_name,Trạm thu phí Cam Lâm,tram thu phi cam lam,0.90,Trạm thu phí Cam Lâm,12.057288,109.1246321
vn-toll-clean-071,toll_station,colleague_name,TRẠM THU PHÍ CAM LÂM Km 30,tram thu phi cam lam km 30,0.75,Trạm thu phí Cam Lâm,12.057288,109.1246321
vn-toll-clean-071,toll_station,colleague_google_name,Trạm Thu phí Cam Lâm,tram thu phi cam lam,0.85,Trạm thu phí Cam Lâm,12.057288,109.1246321
vn-toll-clean-071,toll_station,google_name,Trạm thu phí Cam Lâm,tram thu phi cam lam,0.80,Trạm thu phí Cam Lâm,12.057288,109.1246321
vn-toll-clean-007,toll_station,current_name,Trạm thu phí Cam Thịnh,tram thu phi cam thinh,0.90,Trạm thu phí Cam Thịnh,11.8724221,109.1085221
vn-toll-clean-007,toll_station,colleague_name,TRẠM THU PHÍ CAM RANH Km 52,tram thu phi cam ranh km 52,0.75,Trạm thu phí Cam Thịnh,11.8724221,109.1085221
vn-toll-clean-007,toll_station,colleague_google_name,Trạm Thu phí Cam Thịnh,tram thu phi cam thinh,0.85,Trạm thu phí Cam Thịnh,11.8724221,109.1085221
vn-toll-clean-007,toll_station,google_name,Trạm thu phí Cam Thịnh,tram thu phi cam thinh,0.80,Trạm thu phí Cam Thịnh,11.8724221,109.1085221
final-ChIJ-cUWDQN3NjERssQ2fMiAUBw,toll_station,current_name,Trạm thu phí Cao Bồ,tram thu phi cao bo,0.90,Trạm thu phí Cao Bồ,20.1664286,105.8628399
final-ChIJ-cUWDQN3NjERssQ2fMiAUBw,toll_station,osm_name,Đường cao tốc Mai Sơn - Quốc lộ 45,duong cao toc mai son quoc lo 45,0.65,Trạm thu phí Cao Bồ,20.1664286,105.8628399
final-ChIJ-cUWDQN3NjERssQ2fMiAUBw,toll_station,google_name,Trạm thu phí Cao Bồ,tram thu phi cao bo,0.8,Trạm thu phí Cao Bồ,20.1664286,105.8628399
vn-toll-clean-095,toll_station,current_name,Trạm thu phí cao tốc bến lức - Long Thành (quốc lộ 51),tram thu phi cao toc ben luc long thanh quoc lo 51,0.90,Trạm thu phí cao tốc bến lức - Long Thành (quốc lộ 51),10.6755667,107.0197492
vn-toll-clean-095,toll_station,road,quốc lộ 51,quoc lo 51,0.35,Trạm thu phí cao tốc bến lức - Long Thành (quốc lộ 51),10.6755667,107.0197492
