object_id,object_type,current_name,suggested_name,suggested_action,issue_types,province,road,lat,lon
vn-toll-gmaps-chijgthijadfcterxe-rftdw2w4,toll_station,Trạm thu phí Ea Đar,Trạm thu phí Ea Đar,keep,,Đắk Lắk,,12.812957,108.511572
vn-toll-clean-075,toll_station,Trạm thu phí Hoà Phước,Trạm thu phí Hoà Phước,keep,,Đà Nẵng 550000,,16.0046282,108.246048
vn-toll-clean-074,toll_station,Trạm thu phí Hoàng Mai,Trạm thu phí Hoàng Mai,keep,,Nghệ An,,19.3019039,105.7242358
vn-toll-gmaps-chijxxxg8pghnterlacqozxsxpg,toll_station,Trạm thu phí Hà Nội - Bắc Giang,Trạm thu phí Hà Nội - Bắc Giang,keep,,Hà Nội,,21.090344,105.960513
vn-toll-gmaps-chijs-uxldfhmzerhgmov8hzfq0,toll_station,Trạm thu phí Hạ Hoà (IC11),Trạm thu phí Hạ Hoà (IC11),keep,source_name_conflict,Phú Thọ,,21.533157,104.972637
vn-toll-clean-078,toll_station,Trạm thu phí Hải Hà,Trạm thu phí Hải Hà,keep,,Quảng Ninh,,21.4650905,107.7058191
vn-toll-gmaps-chijzftdnjgtbzericsl5a4slsc,toll_station,Trạm thu phí hầm Cù Mông,Trạm thu phí hầm Cù Mông,keep,,Gia Lai,,13.703552,109.174479
vn-toll-gmaps-chijs3b9ocqnqjer6h3ourzbvps,toll_station,Trạm thu phí hầm Hải Vân,Trạm thu phí hầm Hải Vân,keep,,Huế,,16.228523,108.084722
vn-toll-gmaps-chijtemjolplbzery1nnypqv4gs,toll_station,Trạm thu phí Hầm Đèo Cả,Trạm thu phí Hầm Đèo Cả,keep,,Đắk Lắk,,12.903225,109.365703
vn-toll-gmaps-chij55zu7qfdnter8-nw9wailhw,toll_station,Trạm thu phí Hồ Sơn,Trạm thu phí Hồ Sơn,keep,,Lạng Sơn,,21.49101,106.371324
vn-toll-gmaps-chijz1erg79vnterj9wpxswipbo,toll_station,Trạm thu phí Km 104 cao tốc Bắc Giang - Lạng Sơn,Trạm thu phí Km 104 cao tốc Bắc Giang - Lạng Sơn,keep,multiple_name_variants,Bắc Giang,Cao Tốc Bắc Giang - Lạng Sơn 8785,21.315908,106.25888
final-ChIJu231AQC7bjERSOZYXQYdEVY,toll_station,Trạm thu phí Km 124+720 Quốc lộ 19,Trạm thu phí Km 124+720 Quốc lộ 19,keep,,Gia Lai,Quốc lộ 19,14.05472,108.3294748
vn-toll-clean-094,toll_station,Trạm thu phí Km 237 cao tốc Hà Nội - Lào Cai,Trạm thu phí Km 237 cao tốc Hà Nội - Lào Cai,keep,,Lào Cai,Cao tốc Hà Nội - Lào Cai 938J,22.3651385,104.0808228
vn-toll-gmaps-chijldcenyv9nderu0-djgbtfgm,toll_station,Trạm thu phí Km 6 cao tốc Hà Nội - Lào Cai,Trạm thu phí Km 6 cao tốc Hà Nội - Lào Cai,keep,multiple_name_variants,Hà Nội,Cao Tốc Hà Nội - Lào Cai Trạm Thu Phí Cao Tốc Nội Bài - Lào Cai,21.252714,105.739648
vn-toll-gmaps-chijfrnwdlqrsjerj0lihlazqz8,toll_station,Trạm thu phí Km 45 - cao tốc Bắc - Nam phía Đông (Bắc Giang - Lạng Sơn),Trạm thu phí Km 45 - cao tốc Bắc - Nam phía Đông (Bắc Giang - Lạng Sơn),keep,multiple_name_variants;source_name_conflict,Bắc Giang,Cao Tốc Bắc - Nam Phía Đông,21.686704,106.62769
final-ChIJEUkHFIr-czERw4PbyAJb5bw,toll_station,Trạm thu phí Liên Đầm,Trạm thu phí Liên Đầm,keep,,Lâm Đồng,QL20,11.5664985,107.9987574
vn-toll-gmaps-chijaqaaz2mhdterythzp3-iy10,toll_station,Trạm thu phí Long Phước,Trạm thu phí Long Phước,keep,,TP. Hồ Chí Minh,,10.785886,106.851826
vn-toll-gmaps-chij67wnchrrszerybguj3zatii,toll_station,Trạm thu phí Móng Cái,Trạm thu phí Móng Cái,keep,,Quảng Ninh,,21.512378,107.949864
vn-toll-gmaps-chijcw2-tmjdnteri9cqcxvfgqi,toll_station,Trạm thu phí Mỹ Lộc,Trạm thu phí Mỹ Lộc,keep,,Ninh Bình,,20.447509,106.119748
vn-toll-gmaps-chijw7x4ly4vbzerqhxh-n6qozq,toll_station,Trạm thu phí Nam Bình Định,Trạm thu phí Nam Bình Định,keep,osm_placeholder_name;source_name_conflict,Bình Định,,13.871314,109.125422
vn-toll-gmaps-chijpylvtrvjnterwkgkbtun9cs,toll_station,Trạm thu phí Nam Cầu Giẽ,Trạm thu phí Nam Cầu Giẽ,keep,,Ninh Bình,,20.665174,105.916606
vn-toll-gmaps-chijcyijxutacdera7cpbmuz5zu,toll_station,Trạm thu phí Ninh Lộc,Trạm thu phí Ninh Lộc,keep,,Khánh Hòa,,12.444329,109.120564
vn-toll-gmaps-chijheu4jpyeqjer0ieju1yy09k,toll_station,Trạm thu phí Phong Thử,Trạm thu phí Phong Thử,keep,osm_placeholder_name;source_name_conflict,Đà Nẵng,,15.890553,108.173646
