object_id,object_type,current_name,suggested_name,suggested_action,issue_types,province,road,lat,lon
vn-toll-results-4f58e6be10a8dc,toll_station,Trạm thu phí Bình Hiệp,Trạm thu phí Bình Hiệp,keep,missing_province_context,,,13.951063,109.007743
vn-toll-results-7e5e7fa4176995,toll_station,Trạm thu phí Chư Sê,Trạm thu phí Chư Sê,keep,missing_province_context,,,13.874158,108.008176
vn-toll-results-38e15c8298ba28,toll_station,Trạm thu phí Chợ Bình Điền,Trạm thu phí Chợ Bình Điền,keep,missing_province_context,,,10.699714,106.608864
vn-toll-results-51072ce4cf0518,toll_station,Trạm thu phí Cầu Gianh - Quảng Bình,Trạm thu phí Cầu Gianh - Quảng Bình,keep,missing_province_context,,,17.747179,106.440918
vn-toll-results-3dba1c41016286,toll_station,Trạm thu phí Cầu Ông Bố,Trạm thu phí Cầu Ông Bố,keep,missing_province_context,,,10.900781,106.714263
vn-toll-results-48f39937c30d08,toll_station,Trạm thu phí Hà Trung,Trạm thu phí Hà Trung,keep,missing_province_context,,,20.083758,105.809491
vn-toll-results-dc1ebf3ae65637,toll_station,Trạm thu phí Nút Giao Ba Bàu,Trạm thu phí Nút Giao Ba Bàu,keep,missing_province_context,,,10.932586,107.967996
vn-toll-results-b452ce137aea4d,toll_station,Trạm thu phí Nút Giao Ba Bàu,Trạm thu phí Nút Giao Ba Bàu,keep,missing_province_context,,,10.934372,107.977045
vn-toll-results-41ca601e6c5f09,toll_station,Trạm thu phí Nút Giao TL765 Km 69+400,Trạm thu phí Nút Giao TL765 Km 69+400,keep,missing_province_context,,,10.88509,107.365801
vn-toll-results-69e1f994f650f1,toll_station,Trạm thu phí Phú Hài,Trạm thu phí Phú Hài,keep,missing_province_context,,,10.94037,108.141791
vn-toll-results-05580e7545bfc7,toll_station,Trạm thu phí Quốc lộ 2,Trạm thu phí Quốc lộ 2,keep,missing_province_context,,,21.230577,105.693648
vn-toll-results-7d00ba5a038ceb,toll_station,Trạm thu phí Thị Trấn Vôi,Trạm thu phí Thị Trấn Vôi,keep,missing_province_context,,,21.339235,106.270349
vn-toll-results-7c93585939dabb,toll_station,Trạm Thu Vé Thắng Cảnh Chùa Hương,Trạm Thu Vé Thắng Cảnh Chùa Hương,keep,missing_province_context,,,20.620462,105.749682
vn-toll-results-c6169ba64724d7,toll_station,Trạm thu phí BOT Cầu Chà Là,Trạm thu phí BOT Cầu Chà Là,keep,missing_province_context,,,8.954324,105.101025
vn-toll-results-369644b8378979,toll_station,Trạm thu phí BOT Cầu Hoà Trung,Trạm thu phí BOT Cầu Hoà Trung,keep,missing_province_context,,,9.094715,105.153419
vn-toll-results-2548de6c7d62ae,toll_station,Trạm thu phí Bình Thung,Trạm thu phí Bình Thung,keep,missing_province_context,,,10.907639,106.790988
vn-toll-results-740a234f764bbb,toll_station,Trạm thu phí Cai Lậy,Trạm thu phí Cai Lậy,keep,missing_province_context,,,10.412132,106.164817
vn-toll-results-1c3e261351c189,toll_station,Trạm thu phí Cam Thịnh Đông,Trạm thu phí Cam Thịnh Đông,keep,missing_province_context,,,11.880694,109.09664
vn-toll-results-99e95a3669a3f8,toll_station,Trạm thu phí Cao Bồ,Trạm thu phí Cao Bồ,keep,missing_province_context,,,20.288189,106.012548
vn-toll-results-2494ccf7f28041,toll_station,Trạm thu phí Chơn Thành,Trạm thu phí Chơn Thành,keep,missing_province_context,,,11.363849,106.62765
vn-toll-results-d29ed70a638d07,toll_station,Trạm thu phí Chợ Đệm,Trạm thu phí Chợ Đệm,keep,missing_province_context,,,10.68161,106.557509
vn-toll-results-8ff6c50876e0b4,toll_station,Trạm thu phí Cầu 110,Trạm thu phí Cầu 110,keep,missing_province_context,,,13.413567,108.092846
vn-toll-results-2d89abdd48d147,toll_station,Trạm thu phí Cầu Cái Vừng,Trạm thu phí Cầu Cái Vừng,keep,missing_province_context,,,10.743632,105.298343
vn-toll-results-01b795c3aac577,toll_station,Trạm thu phí Cầu Mỹ Lợi,Trạm thu phí Cầu Mỹ Lợi,keep,missing_province_context,,,10.462812,106.644148
vn-toll-results-ca56e8b14241e6,toll_station,Trạm thu phí Cầu Phú Cường,Trạm thu phí Cầu Phú Cường,keep,missing_province_context,,,10.983539,106.643176
vn-toll-results-6e730c62d2763e,toll_station,Trạm thu phí Cầu Qua Sông Cái Tàu,Trạm thu phí Cầu Qua Sông Cái Tàu,keep,missing_province_context,,,9.314628,105.017323
vn-toll-results-28d3bc49a698e9,toll_station,Trạm thu phí Cầu Trần Văn Thời,Trạm thu phí Cầu Trần Văn Thời,keep,missing_province_context,,,9.069026,104.967868
vn-toll-results-adcaa96d531180,toll_station,Trạm thu phí Cầu qua Sông Cái Tàu,Trạm thu phí Cầu qua Sông Cái Tàu,keep,missing_province_context,,,9.438099,104.930935
vn-toll-results-c53dfe0022532c,toll_station,Trạm thu phí Cầu treo Tân Bằng,Trạm thu phí Cầu treo Tân Bằng,keep,missing_province_context,,,9.460895,105.044275
vn-toll-results-56e61462afce7f,toll_station,Trạm thu phí Cầu Đình Bình Thủy,Trạm thu phí Cầu Đình Bình Thủy,keep,missing_province_context,,,10.516136,105.321055
vn-toll-results-4af1a34590c361,toll_station,Trạm thu phí Cẩm Vân,Trạm thu phí Cẩm Vân,keep,missing_province_context,,,20.107342,105.54336
vn-toll-results-8a1e5b19f33024,toll_station,Trạm thu phí Du Long,Trạm thu phí Du Long,keep,missing_province_context,,,11.746694,109.056815
vn-toll-results-022c2d4e049418,toll_station,Trạm thu phí Gia Lộc,Trạm thu phí Gia Lộc,keep,missing_province_context,,,20.856773,106.294329
vn-toll-results-de8a43dad059a1,toll_station,Trạm thu phí Hà Lam,Trạm thu phí Hà Lam,keep,missing_province_context,,,15.710278,108.3354
vn-toll-results-a7826df3ecbebc,toll_station,Trạm thu phí IC Cẩm Y,Trạm thu phí IC Cẩm Y,keep,missing_province_context,,,21.097299,107.353365
vn-toll-results-0c9c1042e1b704,toll_station,Trạm thu phí IC13,Trạm thu phí IC13,keep,missing_province_context,,,21.698947,104.841234
vn-toll-results-3f24069383f14c,toll_station,Trạm thu phí Km 133+770,Trạm thu phí Km 133+770,keep,missing_province_context,,,11.313348,108.724658
vn-toll-results-a521fbe8e35eee,toll_station,Trạm thu phí Km 430+500,Trạm thu phí Km 430+500,keep,missing_province_context,,,18.956451,105.561797
vn-toll-results-9dc19a42074b4a,toll_station,Trạm thu phí Km 49+550 Quốc lộ 19,Trạm thu phí Km 49+550 Quốc lộ 19,keep,missing_province_context,,,13.944457,108.857778
vn-toll-results-9fdb7bd62b601c,toll_station,Trạm thu phí Km 98+320,Trạm thu phí Km 98+320,keep,missing_province_context,,,10.335235,105.896793
vn-toll-results-f5b1c9ee7be221,toll_station,Trạm thu phí Mỹ Yên,Trạm thu phí Mỹ Yên,keep,missing_province_context,,,10.669806,106.549196
vn-toll-results-266c1e08c589a2,toll_station,Trạm thu phí Nghi Phương,Trạm thu phí Nghi Phương,keep,missing_province_context,,,18.823337,105.586381
vn-toll-results-fad32966cfa215,toll_station,Trạm thu phí Nguyễn Văn Linh,Trạm thu phí Nguyễn Văn Linh,keep,missing_province_context,,,10.695588,106.615414
vn-toll-results-bb9426cc4e67e1,toll_station,Trạm thu phí Nguyễn Văn Linh,Trạm thu phí Nguyễn Văn Linh,keep,missing_province_context,,,10.729191,106.695497
vn-toll-results-17fee3612cf4d5,toll_station,Trạm thu phí Ngã tư Gò Mây,Trạm thu phí Ngã tư Gò Mây,keep,missing_province_context,,,10.816613,106.601444
vn-toll-results-de8a81843b9749,toll_station,Trạm thu phí Ninh Xuân,Trạm thu phí Ninh Xuân,keep,missing_province_context,,,12.507261,109.068792
vn-toll-results-a300be367f4317,toll_station,Trạm thu phí Phan Rang,Trạm thu phí Phan Rang,keep,missing_province_context,,,11.630338,108.895937
vn-toll-results-d2c3a2fa53e365,toll_station,Trạm thu phí Phố Lu (IC17),Trạm thu phí Phố Lu (IC17),keep,missing_province_context,,,22.315763,104.178686
vn-toll-results-87b32e88b6f14c,toll_station,Trạm thu phí Quốc lộ 51,Trạm thu phí Quốc lộ 51,keep,missing_province_context,,,10.765087,106.961871
vn-toll-results-1c40652edb303e,toll_station,Trạm thu phí Quốc lộ 8A,Trạm thu phí Quốc lộ 8A,keep,missing_province_context,,,18.534196,105.657742
vn-toll-results-852b9a6b761f54,toll_station,Trạm thu phí Sai Nga (IC10),Trạm thu phí Sai Nga (IC10),keep,missing_province_context,,,21.438924,105.123438
vn-toll-results-cb934a0bf0ccfe,toll_station,Trạm thu phí Sân bay Buôn Ma Thuột,Trạm thu phí Sân bay Buôn Ma Thuột,keep,missing_province_context,,,12.664256,108.114946
vn-toll-results-b3e81bf484735a,toll_station,Trạm thu phí Sân bay Chu Lai,Trạm thu phí Sân bay Chu Lai,keep,missing_province_context,,,15.415423,108.703482
vn-toll-results-8da48e912d0c21,toll_station,Trạm thu phí Sân bay Cà Mau,Trạm thu phí Sân bay Cà Mau,keep,missing_province_context,,,9.175154,105.175839
vn-toll-results-812f332fb6a582,toll_station,Trạm thu phí Sân bay Côn Đảo,Trạm thu phí Sân bay Côn Đảo,keep,missing_province_context,,,8.730259,106.628381
vn-toll-results-e5947651734d79,toll_station,Trạm thu phí Sân bay Liên Khương,Trạm thu phí Sân bay Liên Khương,keep,missing_province_context,,,11.746721,108.370191
vn-toll-results-5322ec51832366,toll_station,Trạm thu phí Sân bay Phù Cát,Trạm thu phí Sân bay Phù Cát,keep,missing_province_context,,,13.953545,109.050349
vn-toll-results-9d556e8755f432,toll_station,Trạm thu phí Sân bay Phú Bài,Trạm thu phí Sân bay Phú Bài,keep,missing_province_context,,,16.394408,107.698361
vn-toll-results-89f2f678011e91,toll_station,Trạm thu phí Sân bay Phú Quốc,Trạm thu phí Sân bay Phú Quốc,keep,missing_province_context,,,10.159664,103.99769
vn-toll-results-f5cbe3fb32560c,toll_station,Trạm thu phí Sân bay Rạch Giá,Trạm thu phí Sân bay Rạch Giá,keep,missing_province_context,,,9.960942,105.133597
vn-toll-results-227af1af3afdf1,toll_station,Trạm thu phí Sân bay Thọ Xuân,Trạm thu phí Sân bay Thọ Xuân,keep,missing_province_context,,,19.892215,105.473591
vn-toll-results-87932c98aea4d2,toll_station,Trạm thu phí Sân bay Tuy Hoà,Trạm thu phí Sân bay Tuy Hoà,keep,missing_province_context,,,13.05066,109.346302
vn-toll-results-939faa49c400d0,toll_station,Trạm thu phí Sân bay Đà Nẵng,Trạm thu phí Sân bay Đà Nẵng,keep,missing_province_context,,,16.050873,108.206409
vn-toll-results-84e23a122c88c0,toll_station,Trạm thu phí Sân bay Đà Nẵng,Trạm thu phí Sân bay Đà Nẵng,keep,missing_province_context,,,16.058042,108.20406
vn-toll-results-d1f02767544d7f,toll_station,Trạm thu phí Số 1 - ĐT768,Trạm thu phí Số 1 - ĐT768,keep,missing_province_context,,,10.972717,106.800761
vn-toll-results-7d8a668438a5d0,toll_station,Trạm thu phí Số 2 - ĐT747A Km 1+670,Trạm thu phí Số 2 - ĐT747A Km 1+670,keep,missing_province_context,,,10.974075,106.771396
vn-toll-results-1c57136a69c8e5,toll_station,Trạm thu phí Số 2A - ĐT768,Trạm thu phí Số 2A - ĐT768,keep,missing_province_context,,,10.980267,106.847811
vn-toll-results-6e4533b3acd003,toll_station,Trạm thu phí Số 3 - ĐT 747A Km 9+120,Trạm thu phí Số 3 - ĐT 747A Km 9+120,keep,missing_province_context,,,11.028277,106.777486
vn-toll-results-118a315fd99ba0,toll_station,Trạm thu phí Số 3A - ĐT768,Trạm thu phí Số 3A - ĐT768,keep,missing_province_context,,,11.028268,106.913057
vn-toll-results-4d20271e734d74,toll_station,Trạm thu phí Số 3B - ĐT768,Trạm thu phí Số 3B - ĐT768,keep,missing_province_context,,,11.023644,106.899633
vn-toll-results-17bd13a8f54c64,toll_station,Trạm thu phí Tam Đảo (IC4),Trạm thu phí Tam Đảo (IC4),keep,missing_province_context,,,21.357265,105.606161
vn-toll-results-386eef74a7fe33,toll_station,Trạm thu phí Thân Cửu Nghĩa - Chốt CA kiểm tra,Trạm thu phí Thân Cửu Nghĩa - Chốt CA kiểm tra,keep,missing_province_context,,,10.435296,106.295124
vn-toll-results-1a88faa5c34efa,toll_station,Trạm thu phí Thường Tín,Trạm thu phí Thường Tín,keep,missing_province_context,,,20.87189,105.877504
vn-toll-results-832551acb9094e,toll_station,Trạm thu phí Toàn Mỹ 14 (Km 1807+500),Trạm thu phí Toàn Mỹ 14 (Km 1807+500),keep,missing_province_context,,,12.561158,107.822379
vn-toll-results-43cd4ceb51a555,toll_station,Trạm thu phí Văn Bàn (IC16),Trạm thu phí Văn Bàn (IC16),keep,missing_province_context,,,22.152732,104.343695
vn-toll-results-bb234595df3e9c,toll_station,Trạm thu phí Xa Lộ Hà Nội,Trạm thu phí Xa Lộ Hà Nội,keep,missing_province_context,,,10.81902,106.757905
vn-toll-results-b2d41027212383,toll_station,Trạm thu phí Xa lộ Hà Nội,Trạm thu phí Xa lộ Hà Nội,keep,missing_province_context,,,10.823889,106.759614
vn-toll-results-bb6920af6c9fa1,toll_station,Trạm thu phí Xuân Giao (IC18),Trạm thu phí Xuân Giao (IC18),keep,missing_province_context,,,22.343404,104.106081
vn-toll-results-e3b23ff691ff97,toll_station,Trạm thu phí Yên Bái (IC12),Trạm thu phí Yên Bái (IC12),keep,missing_province_context,,,21.648031,104.891031
vn-toll-results-4427bf100242b5,toll_station,Trạm thu phí Đường cao tốc Phan Thiết - Dầu Giây,Trạm thu phí Đường cao tốc Phan Thiết - Dầu Giây,keep,missing_province_context;missing_road_context,,,10.838926,107.147478
vn-toll-results-e9bcdc9b6ca90e,toll_station,Trạm thu phí Đường M1,Trạm thu phí Đường M1,keep,missing_province_context,,,10.824753,106.603516
vn-toll-results-77e47d2d58be12,toll_station,Trạm thu phí Đường Tân Kỳ Tân Quý,Trạm thu phí Đường Tân Kỳ Tân Quý,keep,missing_province_context,,,10.789745,106.595885
vn-toll-results-76d3e5c63fb60c,toll_station,Trạm thu phí Đường số 7,Trạm thu phí Đường số 7,keep,missing_province_context,,,10.82501,106.602115
vn-toll-results-292365965dc6de,toll_station,Trạm thu phí Đại Xuyên 2,Trạm thu phí Đại Xuyên 2,keep,missing_province_context,,,20.70211,105.912933
vn-toll-results-bbbbbeef41c550,toll_station,Trạm phát vé lối vào ga nội địa sân bay Nội Bài,Trạm phát vé lối vào ga nội địa sân bay Nội Bài,keep,missing_province_context,,,21.213758,105.801742
vn-toll-results-f4ed6158c3a30d,toll_station,Trạm thu phí Tân An,Trạm thu phí́ Tân An,keep,missing_province_context,,,10.547452,106.372365
vn-toll-results-c17a2376b0cb89,toll_station,Trạm thu phí 319 KCN CNC Long Thành,Trạm thu phí 319 KCN CNC Long Thành,keep,missing_province_context,,,10.776661,106.92935
vn-toll-results-d7533fd75a68cf,toll_station,Trạm thu phí 4,Trạm thu phí 4,keep,missing_province_context,,,10.660946,106.723442
vn-toll-results-fbc3025936ef80,toll_station,Trạm thu phí 5,Trạm thu phí 5,keep,missing_province_context,,,10.653937,106.938063
vn-toll-results-e2c61b4e755938,toll_station,Trạm thu phí 6,Trạm thu phí 6,keep,missing_province_context,,,10.663812,106.971937
vn-toll-results-bded8a9f2a57c8,toll_station,Trạm thu phí An Lạc,Trạm thu phí An Lạc,keep,missing_province_context,,,10.730745,106.610549
vn-toll-results-6ff2252e49786b,toll_station,Trạm thu phí BOT,Trạm thu phí BOT,keep,missing_province_context,,,18.706686,105.613888
vn-toll-results-3a563783bca3f4,toll_station,Trạm thu phí Bình Chánh,Trạm thu phí Bình Chánh,keep,missing_province_context,,,10.661281,106.55914
vn-toll-results-f0dbe8703fe60a,toll_station,Trạm thu phí Bắc Bỉm Sơn,Trạm thu phí Bắc Bỉm Sơn,keep,missing_province_context,,,20.124809,105.851581
vn-toll-results-f54373378a0b16,toll_station,Trạm thu phí Cầu Giẽ - Ninh Bình Cao Bồ,Trạm thu phí Cầu Giẽ - Ninh Bình Cao Bồ,keep,missing_province_context,,,20.28872,106.014311
vn-toll-results-951e281d14350c,toll_station,Trạm thu phí Cầu Mỹ Luông,Trạm thu phí Cầu Mỹ Luông,keep,missing_province_context,,,10.502437,105.494554
vn-toll-results-48248f4a436b06,toll_station,Trạm thu phí IC14,Trạm thu phí IC14,keep,missing_province_context,,,21.878211,104.675454
vn-toll-results-4b51c698d91be4,toll_station,Trạm thu phí IC4,Trạm thu phí IC4,keep,missing_province_context,,,21.35819,105.605608
vn-toll-results-df25b7187cd049,toll_station,Trạm thu phí KCN HANSSIP,Trạm thu phí KCN HANSSIP,keep,missing_province_context,,,20.707464,105.917503
vn-toll-results-b81e9e3b43b716,toll_station,Trạm thu phí Liêm Tuyền,Trạm thu phí Liêm Tuyền,keep,missing_province_context,,,20.539974,105.948268
vn-toll-results-67a6e410a10e41,toll_station,Trạm thu phí Liêm Tuyền (Hà Nội ra Phủ Lý),Trạm thu phí Liêm Tuyền (Hà Nội ra Phủ Lý),keep,missing_province_context,,,20.540081,105.947552
vn-toll-results-16c530e1f92491,toll_station,Trạm thu phí Liêm Tuyền (Lối vào đi nam),Trạm thu phí Liêm Tuyền (Lối vào đi nam),keep,missing_province_context,,,20.538149,105.947656
vn-toll-results-cf024083593b52,toll_station,Trạm thu phí Long Thới,Trạm thu phí Long Thới,keep,missing_province_context,,,10.660347,106.726839
vn-toll-results-fe4d3c24e951ab,toll_station,Trạm thu phí Long Trường,Trạm thu phí Long Trường,keep,missing_province_context,,,10.786715,106.830901
vn-toll-results-a77105c244cb59,toll_station,Trạm thu phí Nút giao Cẩm Mỹ,Trạm thu phí Nút giao Cẩm Mỹ,keep,missing_province_context,,,10.859563,107.235763
vn-toll-results-1c45c3fd6f4111,toll_station,Trạm thu phí Nút giao Xuân Lộc,Trạm thu phí Nút giao Xuân Lộc,keep,missing_province_context,,,10.896345,107.421286
vn-toll-results-c52faf9b348b92,toll_station,Trạm thu phí Phan Rang,Trạm thu phí Phan Rang,keep,missing_province_context,,,11.627912,108.898875
vn-toll-results-70c775f8a4e694,toll_station,Trạm thu phí Phú Hữu,Trạm thu phí Phú Hữu,keep,missing_province_context,,,10.791609,106.80744
vn-toll-results-44baec63600db9,toll_station,Trạm thu phí Quốc lộ 14 - BP,Trạm thu phí Quốc lộ 14 - BP,keep,missing_province_context,,,11.564076,106.953961
vn-toll-results-4e016e7a8a920c,toll_station,Trạm thu phí Quốc lộ 1A,Trạm thu phí Quốc lộ 1A,keep,missing_province_context,,,21.094946,105.964594
vn-toll-results-e34a65c079e78f,toll_station,Trạm thu phí Quốc lộ 1A,Trạm thu phí Quốc lộ 1A,keep,missing_province_context,,,10.903162,106.844208
vn-toll-results-3daee83ecd2a3e,toll_station,Trạm thu phí Quốc Lộ,Trạm thu phí Quốc Lộ,keep,missing_province_context,,,21.457198,106.295906
vn-toll-results-fa75fee205f2ec,toll_station,Trạm thu phí Tống Sơn (Hà Lĩnh cũ),Trạm thu phí Tống Sơn (Hà Lĩnh cũ),keep,missing_province_context,,,20.000406,105.770482
vn-toll-results-0e3b2adaf70013,toll_station,Trạm thu phí Vĩnh Hảo,Trạm thu phí Vĩnh Hảo,keep,missing_province_context,,,11.304399,108.725077
vn-toll-results-6783d7fc7181dc,toll_station,Trạm thu phí cầu Nguyễn Huệ,Trạm thu phí cầu Nguyễn Huệ,keep,missing_province_context,,,10.2664,105.874324
vn-toll-results-3fe3affe0cc9b6,toll_station,Trạm thu phí cầu Thanh Mỹ,Trạm thu phí cầu Thanh Mỹ,keep,missing_province_context,,,10.408434,105.859615
vn-toll-results-e676b2fb54426d,toll_station,Trạm thu phí cầu treo Huống,Trạm thu phí cầu treo Huống,keep,missing_province_context,,,21.583927,105.865876
vn-toll-results-77badfc41b20d1,toll_station,Trạm thu phí cầu Đồng Nai,Trạm thu phí cầu Đồng Nai,keep,missing_province_context,,,10.902997,106.843788
vn-toll-results-902e161ae6a10c,toll_station,Trạm thu phí nút giao ĐT.634,Trạm thu phí nút giao ĐT.634,keep,missing_province_context,,,14.043348,109.027487
vn-toll-results-50257b7477bc9a,toll_station,Trạm thu phí số 03,Trạm thu phí số 03,keep,missing_province_context,,,10.660289,106.654482
vn-toll-results-7c4a93dd56bb9f,toll_station,Trạm thu phí số 3,Trạm thu phí số 3,keep,missing_province_context,,,11.031479,106.7755
vn-toll-results-329cb8981a939e,toll_station,Trạm thu phí tuyến tránh TX Cai Lậy,Trạm thu phí tuyến tránh TX Cai Lậy,keep,missing_province_context,,,10.393306,106.143552
vn-toll-results-6539ebfe9288e9,toll_station,Trạm thu phí Đèo Ngang,Trạm thu phí Đèo Ngang,keep,missing_province_context,,,17.939489,106.477189
vn-toll-results-70491e7c25f059,toll_station,Trạm thu phí Đường chuyên dùng vận chuyển VLXD Phước Tân (Trạm Phước Tân),Trạm thu phí Đường chuyên dùng vận chuyển VLXD Phước Tân (Trạm Phước Tân),keep,missing_province_context,,,10.879647,106.911861
vn-toll-results-c86839a8da086c,toll_station,Trạm thu phí Đồng Giao,Trạm thu phí Đồng Giao,keep,missing_province_context,,,20.169081,105.870207
vn-toll-results-60cc0884d97283,toll_station,Trạm thu phí đường bộ số 1 DT743,Trạm thu phí đường bộ số 1 DT743,keep,missing_province_context,,,10.977884,106.744844
vn-toll-results-3a4913bba49761,toll_station,plaza toll tam ky,plaza toll tam ky,keep,missing_province_context,,,15.538297,108.453753
vn-toll-results-0809040f917db9,toll_station,Điểm Thu Phí Bến Hải,Điểm Thu Phí Bến Hải,keep,missing_province_context,,,10.384581,107.064495
vn-toll-results-18d929834244af,toll_station,Trạm thu phí,Trạm thu phí,keep,generic_name;missing_province_context,,,10.888675,106.700936
vn-toll-results-389322d4f5b691,toll_station,Trạm thu phí,Trạm thu phí,keep,generic_name;missing_province_context,,,10.430492,106.316667
